kabko,lat,long
 BOLAANG MONGONDOW UTARA,0.907,123.2657
 KEPULAUAN SANGIHE,3.6329,125.5001
 KEPULAUAN SIAU TAGULANDANG BIARO,2.346,125.4124
 KEPULAUAN TALAUD,4.3067,126.8035
 MINAHASA,1.2169,124.8183
 MINAHASA SELATAN,1.0947,124.4642
 MINAHASA TENGGARA,1.0279,124.7299
 MINAHASA UTARA,1.5328,124.9948
 BITUNG,1.4404,125.1217
 MOBAGU,0.7244,124.3199
 MANADO,1.4748,124.8421
 TOMOHON,1.3229,124.8405
 MAJENE,-3.0297,118.9063
 MAMASA,-2.9118,119.325
 MAMUJU,-2.492,119.325
 MAMUJU TENGAH,-1.9354,119.5108
 MAMUJU UTARA,-1.5265,119.5108
 POLEWALI MANDAR,-3.3419,119.1391
 BURU,-3.3307,126.6957
 BURU SELATAN,-3.7274,126.6957
 KEPULAUAN ARU,-6.1947,134.5502
 MALUKU BARAT DAYA,-7.7852,126.3498
 MALUKU TENGAH,-3.0167,129.4864
 MALUKU TENGGARA,-5.7512,132.7272
 MALUKU TENGGARA BARAT,-7.5323,131.3611
 SERAM BAGIAN BARAT,-3.1272,128.4008
 SERAM BAGIAN TIMUR,-3.4233,130.2271
 AMBON,-3.6554,128.1908
 TUAL,-5.6266,132.7521
 HALMAHERA BARAT,1.359,127.5961
 HALMAHERA TENGAH,0.442,128.3587
 HALMAHERA UTARA,1.5074,127.8937
 HALMAHERA SELATAN,-1.5109,127.7238
 KEPULAUAN SULA,-1.8456,125.3431
 HALMAHERA TIMUR,1.3121,128.485
 PULAU MOROTAI,2.3657,128.4008
 PULAU TALIABU,-1.8268,124.7741
 TERNATE,0.771,127.3695
 TIDORE KEPULAUAN,0.674,127.4041
 ASMAT,-5.0574,138.3988
 BIAK NUMFOR,-1.0381,135.9801
 BOVEN DIGOEL,-5.74,140.3482
 DEIYAI,-4.0975,136.4393
 DOGIYAI,-4.0454,135.6763
 INTAN JAYA,-3.5076,136.7478
 JAYAPURA,-2.9879,139.8547
 JAYAWIJAYA,-4.0004,138.7995
 KEEROM,-3.345,140.7624
 KEPULAUAN YAPEN,-1.7469,136.1709
 LANNY JAYA,-3.971,138.319
 MAMBERAMO RAYA,-2.5331,137.7638
 MAMBERAMO TENGAH,-2.3746,138.319
 MAPPI,-6.7606,139.6911
 MERAUKE,-7.7838,139.0413
 MIMIKA,-4.4553,137.1362
 NABIRE,-3.5095,135.7521
 NDUGA,-4.4069,138.2394
 PANIAI,-3.7876,136.3625
 PEGUNUNGAN BINTANG,-4.559,140.5136
 PUNCAK,-3.8649,137.6062
 PUNCAK JAYA,-3.4468,137.8427
 SARMI,-2.4678,139.2031
 SUPIORI,-0.7295,135.6385
 TOLIKARA,-3.4811,138.4787
 WAROPEN,-1.7469,136.1709
 YAHUKIMO,-4.494,139.528
 YALIMO,-3.7853,139.4466
 JAYAPURA,-2.5916,140.669
 YAPEN WAROPEN,-1.7469,136.1709
 FAKFAK,-3.0977,133.0195
 KAIMANA,-3.2884,133.9437
 MANOKWARI,-0.999,133.0195
 MANOKWARI SELATAN,-0.999,133.0195
 MAYBRAT,-1.2971,132.3151
 PEGUNUNGAN ARFAK,-1.1555,133.7142
 RAJA AMPAT,-1.0915,130.8779
 SORONG,-1.1223,131.4883
 SORONG SELATAN,-1.7658,132.1573
 TAMBRAUW,-0.7819,132.3938
 TELUK BINTUNI,-1.9057,133.3295
 TELUK WONDAMA,-2.8552,134.3237
 SORONG,-0.8762,131.2558
